Job name: 160802_Zatopack P30 (1)
Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

251b;1,0249;13,4;11,8;2,60;34,2;13,5;21,2;1,82;1,0;1,0;1,3;252;162;02.08.2016;13:30:40;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (10)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

349a;1,0253;13,0;11,9;2,56;32,6;14,9;19,1;1,95;1,0;1,0;1,2;292;287;02.08.2016;13:31:22;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (11)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

434b;1,0295;21,1;21,6;2,76;26,1;11,9;17,0;1,89;1,0;1,0;1,5;280;306;02.08.2016;13:32:03;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (12)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

49b;1,0211;9,0;5,8;2,51;34,8;13,7;21,7;1,21;1,0;1,0;1,6;238;159;02.08.2016;13:32:45;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE
;;;;;;;;;;;;;;;;;Flüssigkeitssystem wird gereinigt fertig;;VALUE

Job name: 160802_Zatopack P30 (13)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

518a;1,0181;4,1;6,1;2,60;31,5;14,0;17,7;1,77;1,0;1,0;1,5;298;223;02.08.2016;13:34:35;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (14)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

575b;1,0273;21,4;14,0;2,65;32,2;11,4;21,0;1,81;1,0;1,0;1,8;247;173;02.08.2016;13:34:58;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (15)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

594a;1,0199;5,3;5,7;2,56;32,0;16,7;17,1;1,89;1,0;1,0;1,0;313;277;02.08.2016;13:35:41;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (16)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

596b;1,0241;12,9;12,7;2,45;29,5;16,6;15,0;1,92;1,0;1,0;1,0;280;297;02.08.2016;13:36:21;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (17)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

598a;1,0154;2,9;4,4;2,63;25,7;15,1;12,9;1,79;1,0;1,0;1,0;303;293;02.08.2016;13:37:02;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (18)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

639a;1,0166;7,1;3,2;2,78;27,3;12,6;16,2;1,62;1,0;1,0;1,5;309;265;02.08.2016;13:37:44;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (19)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

640b;1,0231;11,7;6,7;2,50;36,2;14,6;22,0;1,91;1,0;1,0;1,7;253;189;02.08.2016;13:38:25;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (20)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

47-42b;1,0252;12,8;11,1;2,69;32,3;12,1;21,2;1,18;1,0;1,0;1,5;263;260;02.08.2016;13:39:07;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE

Job name: 160802_Zatopack P30 (21)
Collection date: 02.08.2016
Job type: NORMAL(MULTIINTAKE)

Probe;Dichte;Gluc;Fruct;pH;Säure;Ws.;Äs.;fl.Sre.;Glucons.;Alk;Glyc;NH4;NOPA;Datum;Zeit;Produkt;Remark;Type;SubType

181a;1,0210;12,4;5,7;2,49;29,5;14,6;16,3;1,92;1,0;1,0;1,0;295;291;02.08.2016;13:39:48;Zatopack Analytik;;NORMAL(MULTIINTAKE);VALUE
